Button Number,Latitude,Longitude
鉄格子,34.032872618200436,-118.23872424520157
ホームレス,34.032872618200436,-118.23872424520157
鉄格子,34.03420408160533,-118.23866521370869
鉄格子,34.03420408160533,-118.23866521370869
鉄格子,34.034585189381865,-118.23862588888608
鉄格子,34.03487124416662,-118.23860799311466
鉄格子,34.0350139697136,-118.23861195254615
ホームレス,34.0351551657778,-118.23860615849786
鉄格子,34.03544577488824,-118.23857215704514
鉄格子,34.0357429532909,-118.2385528941361
ホームレス,34.03617817941956,-118.23852532871882
鉄格子,34.03647269672424,-118.23850762318686
ホームレス,34.03792217288661,-118.23842052952931
鉄格子,34.03811045541137,-118.23842422722305
鉄格子,34.03908601558769,-118.23837030005664
ホームレス,34.0392346123038,-118.23835869072947
ホームレス,34.03951820859642,-118.23834300755297
鉄格子,34.039958150303896,-118.23829897547726
ホームレス,34.039958150303896,-118.23829897547726
ホームレス,34.04004917918153,-118.2382935191951
ホームレス,34.04201946589184,-118.23818894996721
ホームレス,34.04245944611528,-118.23814226399762
ホームレス,34.04283223718681,-118.23810818879052
ホームレス,34.04309073257054,-118.23808522103158
ホームレス,34.0431171360504,-118.23808639307049
鉄格子,34.04342520287746,-118.23809151246111
鉄格子,34.04362755754302,-118.23808145437553
鉄格子,34.04394550966855,-118.23806581521231
ホームレス,34.044498328296754,-118.23804737236564
鉄格子,34.04461081061307,-118.23804304210341
鉄格子,34.04471829542224,-118.23803815208069
鉄格子,34.04491645788437,-118.23804845932649
鉄格子,34.045242314784396,-118.23805580779516
鉄格子,34.045457674919234,-118.23806172243167
ホームレス,34.045457674919234,-118.23806172243167
鉄格子,34.04557221265192,-118.23806272158112
鉄格子,34.045689816845325,-118.23806191250922
鉄格子,34.045920514519715,-118.23806313950485
鉄格子,34.04603662706868,-118.23805389577456
鉄格子,34.046146985455664,-118.23804870840087
鉄格子,34.046862328381955,-118.23804783346736
鉄格子,34.046862963003335,-118.23808332539822
鉄格子,34.04839287557202,-118.23808454252156
ホームレス,34.05020090796662,-118.23807275311643
ホームレス,34.050761581705665,-118.23804656581913
ホームレス,34.05086900614539,-118.23804200776627
ホームレス,34.05134468280008,-118.23803747294436
ホームレス,34.05134468280008,-118.23803747294436
鉄格子,34.05167232894706,-118.23801178651718
ホームレス,34.05294239280044,-118.23802462975033
鉄格子,34.05495953749311,-118.23766392666683
ホームレス,34.056871467072845,-118.23732350752792
ホームレス,34.05695762262797,-118.23730494739044
鉄格子,34.05712580709482,-118.23726875007591
鉄格子,34.05743970797312,-118.23722089182039
ホームレス,34.059078401688936,-118.2368442631333
鉄格子,34.05917500508251,-118.23682335536246
鉄格子,34.06013491767788,-118.23662266851674
ホームレス,34.06108031986193,-118.23641190081757
ホームレス,34.06115197096913,-118.23639184824228
ホームレス,34.061313931442974,-118.23634752885974
ホームレス,34.06311370003229,-118.23578486894264
鉄格子,34.064129803303395,-118.2376967244032
鉄格子,34.06424512159733,-118.2380313558261
鉄格子,34.06438222149724,-118.23838564711014
鉄格子,34.06444492488673,-118.2385411778636
ホームレス,34.064567666503464,-118.23893164772561
鉄格子,34.064567666503464,-118.23893164772561
鉄格子,34.0646820193134,-118.23926623628282
鉄格子,34.06473868197886,-118.23947747560904
鉄格子,34.06509101276203,-118.24044724958719
鉄格子,34.06512539233424,-118.2405422567102
鉄格子,34.065188888298046,-118.24072042912039
